T [K],T [C],x1,y1
395.65,122.5,0.01700,0.34900
393.15,120,0.02400,0.39800
385.15,112,0.05500,0.51800
379.15,106,0.10700,0.60800
375.95,102.8,0.19400,0.67000
374.45,101.3,0.27300,0.69500
373.05,99.9,0.38800,0.71800
372.15,99,0.54500,0.74700
371.95,98.8,0.63300,0.76800
371.75,98.6,0.77800,0.83000
371.55,98.4,0.89000,0.90300
371.35,98.2,0.95000,0.95100
