T [K],T [C],x1,y1
368.25,95.1,0.00800,0.13800
363.25,90.1,0.01600,0.27700
355.25,82.1,0.03300,0.47900
349.35,76.2,0.05200,0.60400
345.35,72.2,0.07200,0.67500
342.65,69.5,0.09400,0.71900
340.75,67.6,0.11700,0.73800
338.15,65,0.17100,0.77600
336.45,63.3,0.23700,0.80000
335.15,62,0.31800,0.82200
334.15,61,0.42000,0.83900
333.05,59.9,0.55400,0.86300
331.35,58.2,0.73600,0.90900
